#format table ## [Custom WaveView] saved 17:43:25 Mon Sep 28 2020
#logic 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
 TIME 0x|0|v(sen_fout_col_p<0>)-0|v(sen_fout_col_n<0>) 0x|0|v(sen_fout_col_p<1>)-0|v(sen_fout_col_n<1>) 0x|0|v(sen_fout_col_p<2>)-0|v(sen_fout_col_n<2>) 0x|0|v(sen_fout_col_p<3>)-0|v(sen_fout_col_n<3>) 0x|0|v(sen_fout_col_p<4>)-0|v(sen_fout_col_n<4>) 0x|0|v(sen_fout_col_p<5>)-0|v(sen_fout_col_n<5>) 0x|0|v(sen_fout_col_p<6>)-0|v(sen_fout_col_n<6>) 0x|0|v(sen_fout_col_p<7>)-0|v(sen_fout_col_n<7>) 0x|0|v(sen_fout_row_p<0>)-0|v(sen_fout_row_n<0>) 0x|0|v(sen_fout_row_p<1>)-0|v(sen_fout_row_n<1>) 0x|0|v(sen_fout_row_p<2>)-0|v(sen_fout_row_n<2>) 0x|0|v(sen_fout_row_p<3>)-0|v(sen_fout_row_n<3>) 0x|0|v(sen_fout_row_p<4>)-0|v(sen_fout_row_n<4>) 0x|0|v(sen_fout_row_p<5>)-0|v(sen_fout_row_n<5>) 0x|0|v(sen_fout_row_p<6>)-0|v(sen_fout_row_n<6>) 0x|0|v(sen_fout_row_p<7>)-0|v(sen_fout_row_n<7>) 

* TIME       C0  C1  C2  C3  C4  C5  C6  C7  R0  R1  R2  R3  R4  R5  R6  R7
 1.34000E-04 800 7FE 8AC 7FE 7FF 801 7FF 801 7FD 801 803 7F0 770 80E 800 803 
 1.34250E-04 7FF 7FE 8AE 7FE 7FF 801 7FF 801 7FC 7FF 800 7EA 781 814 803 804 
 1.34500E-04 7FF 7FE 8B1 7FE 800 801 800 801 7FC 7FE 7FD 7E4 793 81B 807 805 
 1.34750E-04 7FF 7FE 8B3 7FE 800 801 800 801 7FB 7FD 7FA 7DE 7A4 822 80A 806 
 1.35000E-04 7FF 7FE 8B5 7FE 800 801 800 801 7FB 7FC 7F6 7D8 7B5 828 80E 806 
 1.35250E-04 7FE 7FE 8B6 7FE 800 801 800 801 7FB 7FB 7F3 7D1 7CE 830 811 807 
 1.35500E-04 7FE 7FE 8B7 7FE 801 801 801 801 7FB 7FB 7F0 7CA 7E9 837 813 807 
 1.35750E-04 7FE 7FE 8B8 7FE 801 801 801 801 7FB 7FA 7EE 7C4 804 83E 815 807 
 1.36000E-04 7FE 7FE 8B9 7FE 801 801 801 801 7FB 7FA 7EC 7BE 81F 844 817 807 
 1.36250E-04 7FE 7FE 8B9 7FE 801 801 801 801 7FC 7FA 7EB 7BA 838 848 818 806 
 1.36500E-04 7FE 7FF 8BA 7FF 801 800 801 800 7FC 7FA 7E9 7B5 852 84C 818 805 
 1.36750E-04 7FE 7FF 8BA 7FF 801 800 801 800 7FD 7FB 7EA 7B5 864 84D 817 804 
 1.37000E-04 7FE 7FF 8BA 7FF 801 800 801 800 7FD 7FC 7EB 7B5 875 84C 816 803 
 1.37250E-04 7FE 7FF 8BA 800 801 800 801 800 7FE 7FC 7EB 7B4 885 84C 814 802 
 1.37500E-04 7FE 800 8BB 800 801 7FF 801 7FF 7FF 7FD 7EC 7B4 896 84C 813 801 
 1.37750E-04 7FE 800 8BA 800 801 7FF 801 7FF 7FF 7FE 7EE 7B9 897 847 810 7FF 
 1.38000E-04 7FE 800 8BA 800 801 7FF 801 7FF 800 7FF 7F1 7BF 894 840 80C 7FE 
 1.38250E-04 7FF 800 8B9 801 801 7FF 800 7FF 800 800 7F4 7C5 891 839 809 7FD 
 1.38500E-04 7FF 801 8B8 801 800 7FE 800 7FF 801 802 7F6 7CB 88E 832 806 7FC 
 1.38750E-04 7FF 801 8B8 801 800 7FE 800 7FE 802 803 7F9 7D1 88A 82C 803 7FB 
 1.39000E-04 7FF 801 8B7 801 800 7FE 800 7FE 802 804 7FC 7D7 887 825 7FF 7FA 
 1.39250E-04 7FF 801 8B7 801 800 7FE 800 7FE 803 805 7FF 7DD 884 81E 7FC 7F8 
 1.39500E-04 800 801 8B6 802 7FF 7FE 7FF 7FE 803 806 801 7E3 87D 817 7F9 7F7 
 1.39750E-04 800 801 8B5 802 7FF 7FE 7FF 7FE 804 807 805 7ED 869 80C 7F5 7F7 
 1.40000E-04 800 801 8B4 802 7FF 7FE 7FF 7FE 804 808 808 7F6 855 802 7F2 7F6 
 1.40250E-04 800 801 8B2 801 7FF 7FE 7FF 7FE 804 809 80B 800 83D 7F7 7EF 7F6 
 1.40500E-04 801 801 8B1 801 7FE 7FE 7FE 7FE 804 809 80E 80A 823 7EC 7EC 7F6 
 1.40750E-04 801 801 8AF 801 7FE 7FE 7FE 7FE 804 80A 811 814 807 7E3 7E9 7F6 
 1.41000E-04 801 801 8AE 801 7FE 7FE 7FE 7FE 804 80A 813 81D 7EC 7D9 7E8 7F6 
 1.41250E-04 801 801 8AC 801 7FE 7FE 7FE 7FE 804 80A 815 825 7D1 7D1 7E7 7F7 
 1.41500E-04 801 801 8A9 800 7FE 7FF 7FE 7FE 803 809 816 82C 7B7 7CA 7E6 7F8 
 1.41750E-04 801 800 8A6 800 7FE 7FF 7FE 7FF 803 809 816 831 7A2 7C5 7E7 7F9 
 1.42000E-04 801 800 8A3 800 7FE 7FF 7FE 7FF 802 808 816 836 78D 7C0 7E8 7FA 
 1.42250E-04 801 800 89E 7FF 7FE 800 7FE 7FF 801 807 815 838 77F 7BE 7EA 7FC 
 1.42500E-04 801 7FF 898 7FF 7FE 800 7FE 800 800 806 813 839 776 7BE 7EC 7FD 
 1.42750E-04 801 7FF 893 7FF 7FE 800 7FE 800 800 805 811 83A 76C 7BD 7EF 7FE 
 1.43000E-04 801 7FF 88E 7FE 7FE 800 7FE 800 7FF 804 80F 83B 762 7BD 7F1 800 
 1.43250E-04 800 7FF 887 7FE 7FE 801 7FF 800 7FE 803 80D 839 764 7BF 7F5 801 
